residue,method,d,a,b
90,formula_even,,,
91,formula_3_mod_4,,,
92,formula_even,,,
93,formula_divisible_by_3,,,
94,formula_even,,,
95,formula_3_mod_4,,,
96,formula_even,,,
97,general_key_d_3,3,2,10
98,formula_even,,,
99,formula_divisible_by_3,,,
100,formula_even,,,
101,general_key_d_3,3,4,8
102,formula_even,,,
103,formula_3_mod_4,,,
104,formula_even,,,
105,formula_divisible_by_3,,,
106,formula_even,,,
107,formula_3_mod_4,,,
108,formula_even,,,
109,general_key_d_3,3,4,8
110,formula_even,,,
111,formula_divisible_by_3,,,
112,formula_even,,,
113,general_key_d_7,7,4,24
114,formula_even,,,
115,formula_3_mod_4,,,
116,formula_even,,,
117,formula_divisible_by_3,,,
118,formula_even,,,
119,formula_3_mod_4,,,
120,formula_even,,,
121,uncovered,,,
122,formula_even,,,
123,formula_divisible_by_3,,,
124,formula_even,,,
125,general_key_d_3,3,4,8
126,formula_even,,,
127,formula_3_mod_4,,,
128,formula_even,,,
129,formula_divisible_by_3,,,
130,formula_even,,,
131,formula_3_mod_4,,,
132,formula_even,,,
133,general_key_d_3,3,4,8
134,formula_even,,,
135,formula_divisible_by_3,,,
136,formula_even,,,
137,general_key_d_7,7,4,24
138,formula_even,,,
139,formula_3_mod_4,,,
140,formula_even,,,
141,formula_divisible_by_3,,,
142,formula_even,,,
143,formula_3_mod_4,,,
144,formula_even,,,
145,general_key_d_3,3,2,10
146,formula_even,,,
147,formula_divisible_by_3,,,
148,formula_even,,,
149,general_key_d_3,3,4,8
150,formula_even,,,
151,formula_3_mod_4,,,
152,formula_even,,,
153,formula_divisible_by_3,,,
154,formula_even,,,
155,formula_3_mod_4,,,
156,formula_even,,,
157,general_key_d_3,3,4,8
158,formula_even,,,
159,formula_divisible_by_3,,,
160,formula_even,,,
161,general_key_d_7,7,4,24
162,formula_even,,,
163,formula_3_mod_4,,,
164,formula_even,,,
165,formula_divisible_by_3,,,
166,formula_even,,,
167,formula_3_mod_4,,,
168,formula_even,,,
169,uncovered,,,
170,formula_even,,,
171,formula_divisible_by_3,,,
172,formula_even,,,
173,general_key_d_3,3,4,8
174,formula_even,,,
175,formula_3_mod_4,,,
176,formula_even,,,
177,formula_divisible_by_3,,,
178,formula_even,,,
179,formula_3_mod_4,,,
180,formula_even,,,
181,general_key_d_3,3,4,8
182,formula_even,,,
183,formula_divisible_by_3,,,
184,formula_even,,,
185,general_key_d_7,7,4,24
186,formula_even,,,
187,formula_3_mod_4,,,
188,formula_even,,,
189,formula_divisible_by_3,,,
190,formula_even,,,
191,formula_3_mod_4,,,
192,formula_even,,,
193,general_key_d_7,7,8,20
194,formula_even,,,
195,formula_divisible_by_3,,,
196,formula_even,,,
197,general_key_d_3,3,4,8
198,formula_even,,,
199,formula_3_mod_4,,,
200,formula_even,,,
201,formula_divisible_by_3,,,
202,formula_even,,,
203,formula_3_mod_4,,,
204,formula_even,,,
205,general_key_d_3,3,4,8
206,formula_even,,,
207,formula_divisible_by_3,,,
208,formula_even,,,
209,general_key_d_7,7,4,24
210,formula_even,,,
211,formula_3_mod_4,,,
212,formula_even,,,
213,formula_divisible_by_3,,,
214,formula_even,,,
215,formula_3_mod_4,,,
216,formula_even,,,
217,general_key_d_3,3,2,10
218,formula_even,,,
219,formula_divisible_by_3,,,
220,formula_even,,,
221,general_key_d_3,3,4,8
222,formula_even,,,
223,formula_3_mod_4,,,
224,formula_even,,,
225,formula_divisible_by_3,,,
226,formula_even,,,
227,formula_3_mod_4,,,
228,formula_even,,,
229,general_key_d_3,3,4,8
230,formula_even,,,
231,formula_divisible_by_3,,,
232,formula_even,,,
233,general_key_d_7,7,4,24
234,formula_even,,,
235,formula_3_mod_4,,,
236,formula_even,,,
237,formula_divisible_by_3,,,
238,formula_even,,,
239,formula_3_mod_4,,,
240,formula_even,,,
241,general_key_d_11,11,2,42
242,formula_even,,,
243,formula_divisible_by_3,,,
244,formula_even,,,
245,general_key_d_3,3,4,8
246,formula_even,,,
247,formula_3_mod_4,,,
248,formula_even,,,
249,formula_divisible_by_3,,,
250,formula_even,,,
251,formula_3_mod_4,,,
252,formula_even,,,
253,general_key_d_3,3,4,8
254,formula_even,,,
255,formula_divisible_by_3,,,
256,formula_even,,,
257,general_key_d_7,7,4,24
258,formula_even,,,
259,formula_3_mod_4,,,
260,formula_even,,,
261,formula_divisible_by_3,,,
262,formula_even,,,
263,formula_3_mod_4,,,
264,formula_even,,,
265,general_key_d_3,3,2,10
266,formula_even,,,
267,formula_divisible_by_3,,,
268,formula_even,,,
269,general_key_d_3,3,4,8
270,formula_even,,,
271,formula_3_mod_4,,,
272,formula_even,,,
273,formula_divisible_by_3,,,
274,formula_even,,,
275,formula_3_mod_4,,,
276,formula_even,,,
277,general_key_d_3,3,4,8
278,formula_even,,,
279,formula_divisible_by_3,,,
280,formula_even,,,
281,general_key_d_7,7,4,24
282,formula_even,,,
283,formula_3_mod_4,,,
284,formula_even,,,
285,formula_divisible_by_3,,,
286,formula_even,,,
287,formula_3_mod_4,,,
288,formula_even,,,
289,uncovered,,,
290,formula_even,,,
291,formula_divisible_by_3,,,
292,formula_even,,,
293,general_key_d_3,3,4,8
294,formula_even,,,
295,formula_3_mod_4,,,
296,formula_even,,,
297,formula_divisible_by_3,,,
298,formula_even,,,
299,formula_3_mod_4,,,
300,formula_even,,,
301,general_key_d_3,3,4,8
302,formula_even,,,
303,formula_divisible_by_3,,,
304,formula_even,,,
305,general_key_d_7,7,4,24
306,formula_even,,,
307,formula_3_mod_4,,,
308,formula_even,,,
309,formula_divisible_by_3,,,
310,formula_even,,,
311,formula_3_mod_4,,,
312,formula_even,,,
313,general_key_d_7,7,8,20
314,formula_even,,,
315,formula_divisible_by_3,,,
316,formula_even,,,
317,general_key_d_3,3,4,8
318,formula_even,,,
319,formula_3_mod_4,,,
320,formula_even,,,
321,formula_divisible_by_3,,,
322,formula_even,,,
323,formula_3_mod_4,,,
324,formula_even,,,
325,general_key_d_3,3,4,8
326,formula_even,,,
327,formula_divisible_by_3,,,
328,formula_even,,,
329,general_key_d_7,7,4,24
330,formula_even,,,
331,formula_3_mod_4,,,
332,formula_even,,,
333,formula_divisible_by_3,,,
334,formula_even,,,
335,formula_3_mod_4,,,
336,formula_even,,,
337,general_key_d_3,3,2,10
338,formula_even,,,
339,formula_divisible_by_3,,,
340,formula_even,,,
341,general_key_d_3,3,4,8
342,formula_even,,,
343,formula_3_mod_4,,,
344,formula_even,,,
345,formula_divisible_by_3,,,
346,formula_even,,,
347,formula_3_mod_4,,,
348,formula_even,,,
349,general_key_d_3,3,4,8
350,formula_even,,,
351,formula_divisible_by_3,,,
352,formula_even,,,
353,general_key_d_7,7,4,24
354,formula_even,,,
355,formula_3_mod_4,,,
356,formula_even,,,
357,formula_divisible_by_3,,,
358,formula_even,,,
359,formula_3_mod_4,,,
360,formula_even,,,
361,uncovered,,,
362,formula_even,,,
